0.042	12.428593	745.71561	-12.428593	-745.71561	119.86428		60	-1	-60	9.6442353		-3.4412103	-3.764009	-3.4412103
0.043	13.197135	791.82808	-13.197135	-791.82808	119.83543		60	-1	-60	9.0804129		-3.4540693	-3.7765456	-3.4540693
0.044	14.0132	840.79199	-14.0132	-840.79199	119.80269		60	-1	-60	8.5492747		-3.4664092	-3.7885633	-3.4664092
0.045	14.879728	892.78366	-14.879728	-892.78366	119.76564		60	-1	-60	8.0489138		-3.4782601	-3.8000925	-3.4782601
0.046	15.799838	947.99031	-15.799838	-947.99031	119.72382		60	-1	-60	7.5775344		-3.4896506	-3.8111616	-3.4896506
0.047	16.776846	1006.6107	-16.776846	-1006.6107	119.67671		60	-1	-60	7.1334452		-3.5006076	-3.8217975	-3.5006076
0.048	17.814268	1068.8561	-17.814268	-1068.8561	119.62376		60	-1	-60	6.7150535		-3.5111564	-3.8320254	-3.5111564
0.049	18.915841	1134.9504	-18.915841	-1134.9504	119.56437		60	-1	-60	6.3208594		-3.5213208	-3.8418693	-3.5213208
0.05	20.085531	1205.1318	-20.085531	-1205.1318	119.49786		60	-1	-60	5.94945		-3.5311232	-3.8513515	-3.5311232
0.051	21.32755	1279.653	-21.32755	-1279.653	119.42352		60	-1	-60	5.5994952		-3.5405847	-3.8604932	-3.5405847
0.052	22.646372	1358.7823	-22.646372	-1358.7823	119.34054		60	-1	-60	5.2697419		-3.5497252	-3.8693142	-3.5497252
0.053	24.046746	1442.8047	-24.046746	-1442.8047	119.24806		60	-1	-60	4.9590102		-3.5585635	-3.8778332	-3.5585635
0.054	25.533713	1532.0228	-25.533713	-1532.0228	119.14513		60	-1	-60	4.666189		-3.5671171	-3.8860679	-3.5671171
0.055	27.11263	1626.7578	-27.11263	-1626.7578	119.03072		60	-1	-60	4.3902316		-3.5754027	-3.8940349	-3.5754027
0.056	28.789181	1727.3509	-28.789181	-1727.3509	118.90371		60	-1	-60	4.1301525		-3.5834359	-3.9017499	-3.5834359
0.057	30.569404	1834.1643	-30.569404	-1834.1643	118.76286		60	-1	-60	3.8850236		-3.5912314	-3.9092274	-3.5912314
0.058	32.45971	1947.5826	-32.45971	-1947.5826	118.60683		60	-1	-60	3.6539706		-3.598803	-3.9164815	-3.598803
0.059	34.466907	2068.0144	-34.466907	-2068.0144	118.43417		60	-1	-60	3.4361705		-3.6061639	-3.923525	-3.6061639
0.06	36.598221	2195.8933	-36.598221	-2195.8933	118.24329		60	-1	-60	3.2308479		-3.6133263	-3.9303704	-3.6133263
0.061	38.861328	2331.6797	-38.861328	-2331.6797	118.03245		60	-1	-60	3.0372727		-3.6203017	-3.9370291	-3.6203017
0.062	41.264378	2475.8627	-41.264378	-2475.8627	117.79978		60	-1	-60	2.8547573		-3.627101	-3.9435121	-3.627101
0.063	43.816025	2628.9615	-43.816025	-2628.9615	117.54324		60	-1	-60	2.682654		-3.6337346	-3.9498296	-3.6337346
0.064	46.525456	2791.5274	-46.525456	-2791.5274	117.26058		60	-1	-60	2.5203532		-3.6402119	-3.9559913	-3.6402119
0.065	49.402429	2964.1458	-49.402429	-2964.1458	116.9494		60	-1	-60	2.3672803		-3.6465422	-3.9620061	-3.6465422
0.066	52.457305	3147.4383	-52.457305	-3147.4383	116.60706		60	-1	-60	2.2228946		-3.652734	-3.9678828	-3.652734
0.067	55.701083	3342.065	-55.701083	-3342.065	116.23071		60	-1	-60	2.0866867		-3.6587953	-3.9736293	-3.6587953
0.068	59.145445	3548.7267	-59.145445	-3548.7267	115.81723		60	-1	-60	1.9581767		-3.6647336	-3.9792532	-3.6647336
0.069	62.802795	3768.1677	-62.802795	-3768.1677	115.36327		60	-1	-60	1.836913		-3.6705562	-3.9847616	-3.6705562
0.07	66.686302	4001.1781	-66.686302	-4001.1781	114.86515		60	-1	-60	1.72247		-3.6762697	-3.9901613	-3.6762697
0.071	70.809952	4248.5971	-70.809952	-4248.5971	114.31892		60	-1	-60	1.614447		-3.6818805	-3.9954586	-3.6818805
0.072	75.188595	4511.3157	-75.188595	-4511.3157	113.72025		60	-1	-60	1.5124667		-3.6873945	-4.0006594	-3.6873945
0.073	79.837997	4790.2798	-79.837997	-4790.2798	113.06447		60	-1	-60	1.4161737		-3.6928173	-4.0057693	-3.6928173
0.074	84.774903	5086.4942	-84.774903	-5086.4942	112.34652		60	-1	-60	1.3252333		-3.6981542	-4.0107935	-3.6981542
0.075	90.01709	5401.0254	-90.01709	-5401.0254	111.5609		60	-1	-60	1.2393302		-3.7034101	-4.0157372	-3.7034101
0.076	95.583435	5735.0061	-95.583435	-5735.0061	110.70164		60	-1	-60	1.1581677		-3.7085897	-4.0206048	-3.7085897
0.077	101.49398	6089.639	-101.49398	-6089.639	109.7623		60	-1	-60	1.0814661		-3.7136973	-4.0254008	-3.7136973
0.078	107.77002	6466.2012	-107.77002	-6466.2012	108.73588		60	-1	-60	1.0089622		-3.7187372	-4.0301293	-3.7187372
0.079	114.43415	6866.0488	-114.43415	-6866.0488	107.61479		60	-1	-60	0.94040805		-3.7237132	-4.0347943	-3.7237132
0.08	121.51036	7290.6215	-121.51036	-7290.6215	106.39084		60	-1	-60	0.87557013		-3.7286289	-4.0393993	-3.7286289
0.081	129.02414	7741.4483	-129.02414	-7741.4483	105.05513		60	-1	-60	0.81422853		-3.7334879	-4.0439478	-3.7334879
0.082	137.00254	8220.1526	-137.00254	-8220.1526	103.59806		60	-1	-60	0.75617614		-3.7382932	-4.0484431	-3.7382932
0.083	145.47431	8728.4584	-145.47431	-8728.4584	102.00919		60	-1	-60	0.70121793		-3.7430481	-4.0528881	-3.7430481
0.084	154.46994	9268.1961	-154.46994	-9268.1961	100.27728		60	-1	-60	0.6491702		-3.7477553	-4.0572859	-3.7477553
0.085	164.02182	9841.3093	-164.02182	-9841.3093	98.390125		60	-1	-60	0.59985997		-3.7524175	-4.0616389	-3.7524175
0.086	174.16436	10449.862	-174.16436	-10449.862	96.334546		60	-1	-60	0.55312433		-3.7570373	-4.0659498	-3.7570373
0.087	184.93408	11096.045	-184.93408	-11096.045	94.096282		60	-1	-60	0.50880984		-3.761617	-4.070221	-3.761617
0.088	196.36977	11782.186	-196.36977	-11782.186	91.659915		60	-1	-60	0.46677202		-3.766159	-4.0744547	-3.766159
0.089	208.5126	12510.756	-208.5126	-12510.756	89.008772		60	-1	-60	0.4268748		-3.7706652	-4.078653	-3.7706652
0.09	221.40629	13284.378	-221.40629	-13284.378	86.124837		60	-1	-60	0.38899001		-3.7751377	-4.0828179	-3.7751377
0.091	235.09729	14105.838	-235.09729	-14105.838	82.988633		60	-1	-60	0.35299697		-3.7795783	-4.0869512	-3.7795783
0.092	249.6349	14978.094	-249.6349	-14978.094	79.579117		60	-1	-60	0.31878202		-3.7839888	-4.0910547	-3.7839888
0.093	265.07145	15904.287	-265.07145	-15904.287	75.873555		60	-1	-60	0.28623812		-3.7883709	-4.09513	-3.7883709
0.094	281.46256	16887.753	-281.46256	-16887.753	71.847385		60	-1	-60	0.25526445		-3.792726	-4.0991788	-3.792726
0.095	298.86723	17932.034	-298.86723	-17932.034	67.474084		60	-1	-60	0.22576609		-3.7970556	-4.1032023	-3.7970556
0.096	317.34814	19040.888	-317.34814	-19040.888	62.725007		60	-1	-60	0.19765361		-3.8013612	-4.107202	-3.8013612
0.097	336.97185	20218.311	-336.97185	-20218.311	57.569224		60	-1	-60	0.17084283		-3.8056438	-4.1111792	-3.8056438
0.098	357.80903	21468.542	-357.80903	-21468.542	51.973347		60	-1	-60	0.14525443		-3.8099049	-4.1151351	-3.8099049
0.099	379.9347	22796.082	-379.9347	-22796.082	45.901335		60	-1	-60	0.12081375		-3.8141454	-4.1190708	-3.8141454
0.1	403.42854	24205.713	-403.42854	-24205.713	39.31429		60	-1	-60	0.097450442		-3.8183665	-4.1229873	-3.8183665
0.101	428.37517	25702.51	-428.37517	-25702.51	32.170238		60	-1	-60	0.075098279		-3.8225692	-4.1268857	-3.8225692
0.102	454.86441	27291.865	-454.86441	-27291.865	24.423889		60	-1	-60	0.053694879		-3.8267543	-4.1307668	-3.8267543
